"","phase","hospital","sales_rep","product","sales_target","potential_revenue","promotional_budget","sr_time_proportion","hosp_code","prod_code","pp_sr_sales_performance","pp_deployment_quality_index","pp_customer_relationship_index","pp_real_revenue","pp_real_volume","pp_promotional_support_index","pp_sales_performance","pp_offer_attractiveness","pp_acc_offer_attractiveness","pp_acc_success_value","sales_training","product_training","field_work","meetings_with_team","kpi_analysis","admin_work","work_time","sales_level","pp_real_volume_by_sr","pp_real_revenue_by_sr","pp_sr_acc_revenue","pp_sales_skills_index","pp_product_knowledge_index","pp_motivation_index","pp_sr_acc_field_work","pp_target_revenue_realization_by_sr","product_price","target_revenue","target_volume","other_time","sr_time","no.hospitals","sr_time_total","sr_time_by_hosp","product_time_proportion","sr_acc_field_work","overhead_factor","overhead_time","real_sr_time","pp_experience_index","field_work_peraccount","product_knowledge_addition_current_period","product_knowledge_transfer_value","ss_accumulated_field_work_delta","ss_accumulated_sales_training_delta","ss_experience_index_pp","m_sales_training_delta","m_admin_work_delta","sales_skills_index","product_knowledge_index","srsp_motivation_factor","srsp_sales_skills_factor","srsp_product_knowledge_factor","srsp_time_with_account_factor","sr_sales_performance","dq_admin_work_delta","dq_meetings_with_team_delta","dq_kpi_analysis_factor","deployment_quality_index","ps_promotional_budget_factor","promotional_support_index","sp_field_work_delta","sp_deployment_quality_factor","sales_performance","cr_product_knowledge_delta","cr_promotional_support_delta","cr_pp_customer_relationship_index","customer_relationship_index","oa_customer_relationship_factor","oa_sales_performance_factor","cp_offer_attractiveness","offer_attractiveness","acc_offer_attractiveness","market_share","real_revenue","real_volume","target_revenue_by_sr","real_revenue_by_sr","target_revenue_realization_by_sr","target_volume_by_sr","real_volume_by_sr","target_volume_realization_by_sr","bonus","sr_acc_revenue","experience_index","m_meeting_with_team_delta","m_sales_target_realization_delta","motivation_index"
"11","周期0","中日医院","小青","三代降糖药",36800,255000,5880,0.05,3,3,33.75,42,35,25080,264,26,27,13.2,13.2,0,5,5,10,10,15,10,100,"middle",1686,130000,5000000,45,60,55,0,90,95,36800,387,85,4.25,2,85,57.8,0.07,10,1.05,2,4.15,85.91,5,4.75,54.4,2.425,1.5,9.4364,3.25,0.583333333333333,51,65,0.98,1.01,1.05333333333333,0.7845,29.442375,4.86666666666667,13.75,1,48,0.7152,18.5952,7,0.894,28.60938125,1.86666666666667,-0.119999999999998,35,35.5753333333333,0.711506666666667,0.4360938125,7.210618195,8.408494556,22,8.408494556,21442,226,1482800,1253388,84.53,17660,14785,83.72,0,6253388,92.74,-0.5,2.486125,57
"12","周期0","中日医院","小青","皮肤药",0,850000,0,0,3,4,0,0,0,0,0,0,0,0,0,0,5,5,10,10,15,10,100,"middle",1686,130000,5000000,45,60,55,0,90,55,0,0,85,0,2,85,57.8,0,10,1.05,2,0,85.91,5,4.75,54.4,2.425,1.5,9.4364,3.25,0.583333333333333,51,65,0.98,1.01,1.05333333333333,0,0,4.86666666666667,13.75,1,6,0.6,0,7,0.63,0.35,1.86666666666667,-3,0,0,0,0.00524999999999999,0,0,0,0,0,0,1482800,1253388,84.53,17660,14785,83.72,0,6253388,92.74,-0.5,2.486125,57
"13","周期0","铁路医院","小白","口服抗生素",940000,4250000,48180,0.4,4,1,51.01569,27,36,679250,7632,51.7369639322536,46.5706425,36.3,36.3,0,6,5,8,10,15,10,100,"junior",794,61300,1000000,40,19,88,0,80,89,940000,10562,85,34,2,85,46.75,0.73,8,0.63,1,33.6,31.2,4,4.75,19.31,2,1.8,5.32,4,0.583333333333333,44,24,1.124,0.91,1.05333333333333,1.196,57.181786398,4.86666666666667,13.75,1,33,1.2818,66.3164403683627,5.5,0.781,52.764206282,1.86666666666667,24.09,36,52.3118333333333,1.02311833333333,0.71646309423,30.4602443923294,31.6281955138635,68,17.8140977569318,757099,8507,1968000,1485645,75.49,23587,17828,75.58,0,2485645,56.77,0,0.566124999999999,89
"14","周期0","铁路医院","小白","一代降糖药",180000,1020000,11880,0.1,4,2,43.52648484375,63,45,135432,2084,34.0796882552396,32.004817125,18.15,18.15,0,6,5,8,10,15,10,100,"junior",794,61300,1000000,40,19,88,0,80,65,180000,2769,85,8.5,2,85,46.75,0.18,8,0.63,1,8.4,31.2,4,4.75,19.31,2,1.8,5.32,4,0.583333333333333,44,24,1.124,0.91,1.05333333333333,0.91,41.3182411793438,4.86666666666667,13.75,1,69,0.84656,28.8505008893556,5.5,1.081,39.7833632031828,1.86666666666667,3.246,45,47.7632333333333,0.9164485,0.547833632031828,12.6193243628266,13.7254594902613,32,12.980367592209,132400,2037,1968000,1485645,75.49,23587,17828,75.58,0,2485645,56.77,0,0.566124999999999,89
"15","周期0","铁路医院","小白","三代降糖药",90000,510000,5940,0.05,4,3,33,48,43,56430,594,27,28,14.85,14.85,0,6,5,8,10,15,10,100,"junior",794,61300,1000000,40,19,88,0,80,95,90000,947,85,4.25,2,85,46.75,0.09,8,0.63,1,4.2,31.2,4,4.75,19.31,2,1.8,5.32,4,0.583333333333333,44,24,1.124,0.91,1.05333333333333,0.786,28.8706,4.86666666666667,13.75,1,54,0.7176,19.3752,5.5,0.946,28.62555,1.86666666666667,-0.0599999999999989,43,43.6143333333333,0.872286666666667,0.4362555,9.068419305,10.224735444,25,10.1797883552,51917,546,1968000,1485645,75.49,23587,17828,75.58,0,2485645,56.77,0,0.566124999999999,89
"16","周期0","铁路医院","小白","皮肤药",0,102000,0,0,4,4,0,0,0,0,0,0,0,0,0,0,6,5,8,10,15,10,100,"junior",794,61300,1000000,40,19,88,0,80,55,0,0,85,0,2,85,46.75,0,8,0.63,1,0,31.2,4,4.75,19.31,2,1.8,5.32,4,0.583333333333333,44,24,1.124,0.91,1.05333333333333,0,0,4.86666666666667,13.75,1,6,0.6,0,5.5,0.63,0.275,1.86666666666667,-3,0,0,0,0.00412500000000001,0,0,0,0,0,0,1968000,1485645,75.49,23587,17828,75.58,0,2485645,56.77,0,0.566124999999999,89
"17","周期0","海港医院","小青","口服抗生素",265000,1530000,12000,0.16,5,1,58.20768084375,39,35,180576,2029,31.9517534537233,34,26.4,26.4,0,5,5,10,10,15,10,100,"middle",1686,130000,5000000,45,60,55,0,90,89,265000,2978,85,13.6,2,85,27.2,0.5,10,1.05,2,13.28,85.91,5,4.75,54.4,2.425,1.5,9.4364,3.25,0.583333333333333,51,65,0.98,1.01,1.05333333333333,0.932,55.9298202667312,4.86666666666667,13.75,1,45,0.848,27.0950869287574,7,0.87,49.9133652000484,1.86666666666667,3.3,35,37.7983333333333,0.755966666666667,0.673700478000727,18.6544235715315,20.2035388572252,47,12.1017694286126,185157,2080,1482800,1253388,84.53,17660,14785,83.72,0,6253388,92.74,-0.5,2.486125,57
"18","周期0","海港医院","小青","一代降糖药",105000,510000,7440,0.1,5,2,50.242815,51,39,77748,1196,36.0306279591974,39.799266,21.45,21.45,0,5,5,10,10,15,10,100,"middle",1686,130000,5000000,45,60,55,0,90,65,105000,1615,85,8.5,2,85,27.2,0.31,10,1.05,2,8.3,85.91,5,4.75,54.4,2.425,1.5,9.4364,3.25,0.583333333333333,51,65,0.98,1.01,1.05333333333333,0.9075,47.5380767925,4.86666666666667,13.75,1,57,0.7776,28.0174163010719,7,0.973,45.738458057975,1.86666666666667,1.44,39,40.5893333333333,0.80884,0.611076870869625,14.8044065280921,16.1335252224737,38,14.9068201779789,76025,1170,1482800,1253388,84.53,17660,14785,83.72,0,6253388,92.74,-0.5,2.486125,57
"19","周期0","海港医院","小青","三代降糖药",33000,170000,4560,0.06,5,3,31,33,40,22572,238,49.4628878217404,36,18.15,18.15,0,5,5,10,10,15,10,100,"middle",1686,130000,5000000,45,60,55,0,90,95,33000,347,85,5.1,2,85,27.2,0.19,10,1.05,2,4.98,85.91,5,4.75,54.4,2.425,1.5,9.4364,3.25,0.583333333333333,51,65,0.98,1.01,1.05333333333333,0.8094,27.5065066666667,4.86666666666667,13.75,1,39,0.6624,32.7642168931208,7,0.823,28.70548,1.86666666666667,-1.44,40,39.7173333333333,0.794346666666667,0.4370548,10.526483572,12.0511868576,30,11.64094948608,19790,208,1482800,1253388,84.53,17660,14785,83.72,0,6253388,92.74,-0.5,2.486125,57
"20","周期0","海港医院","小青","皮肤药",0,51000,0,0,5,4,0,0,0,0,0,0,0,0,0,0,5,5,10,10,15,10,100,"middle",1686,130000,5000000,45,60,55,0,90,55,0,0,85,0,2,85,27.2,0,10,1.05,2,0,85.91,5,4.75,54.4,2.425,1.5,9.4364,3.25,0.583333333333333,51,65,0.98,1.01,1.05333333333333,0,0,4.86666666666667,13.75,1,6,0.6,0,7,0.63,0.35,1.86666666666667,-3,0,0,0,0.00524999999999999,0,0,0,0,0,0,1482800,1253388,84.53,17660,14785,83.72,0,6253388,92.74,-0.5,2.486125,57
"21","周期0","第六医院","小木","口服抗生素",650000,3060000,26880,0.35,6,1,47.3898189375,59,37,470250,5284,74.1354097942945,36.470678325,34.65,34.65,0,4,5,8,10,15,10,100,"junior",1132,87000,1500000,40,15,60,0,90,89,650000,7303,85,29.75,2,85,46.75,0.64,8,1,2,29.05,40.33,4,4.75,15.35,2,1.2,6.233,1.75,0.583333333333333,44,20,1,0.91,1.05333333333333,1.143125,50.7327757483828,4.86666666666667,13.75,1,65,1.02148571428571,75.7282620275891,5.5,1.045,47.7704874974621,1.86666666666667,11.0742857142857,37,44.851619047619,0.897032380952381,0.641557312461932,25.7708453260836,27.5466762608668,62,15.7733381304334,482664,5423,1557000,1170513,75.18,18809,14004,74.45,0,2670513,59.73,0,0.484750000000002,61
"22","周期0","第六医院","小木","一代降糖药",170000,612000,11340,0.15,6,2,42.1701856875,72,42,123393.6,1898,63.9146816860869,44.348284275,29.7,29.7,0,4,5,8,10,15,10,100,"junior",1132,87000,1500000,40,15,60,0,90,65,170000,2615,85,12.75,2,85,46.75,0.27,8,1,2,12.45,40.33,4,4.75,15.35,2,1.2,6.233,1.75,0.583333333333333,44,20,1,0.91,1.05333333333333,1.007875,41.7228303009984,4.86666666666667,13.75,1,78,0.9336,59.6707468221307,5.5,1.146,43.9491636953288,1.86666666666667,6.68000000000001,42,46.9953333333333,0.90493,0.584237455429932,21.1616798557614,22.8693438846091,53,19.7216063307655,120696,1857,1557000,1170513,75.18,18809,14004,74.45,0,2670513,59.73,0,0.484750000000002,61
"23","周期0","第六医院","小木","三代降糖药",47000,212500,3780,0.05,6,3,35,33,42,30305,319,48.8985466891939,33,19.8,19.8,0,4,5,8,10,15,10,100,"junior",1132,87000,1500000,40,15,60,0,90,95,47000,495,85,4.25,2,85,46.75,0.09,8,1,2,4.15,40.33,4,4.75,15.35,2,1.2,6.233,1.75,0.583333333333333,44,20,1,0.91,1.05333333333333,0.7845,29.9378333333333,4.86666666666667,13.75,1,39,0.66048,32.2965121172788,5.5,0.823,29.810175,1.86666666666667,-1.488,42,41.6861333333333,0.833722666666667,0.44810175,11.92653231,13.501225848,33,12.8009806784,27202,286,1557000,1170513,75.18,18809,14004,74.45,0,2670513,59.73,0,0.484750000000002,61
"24","周期0","第六医院","小木","皮肤药",0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,4,5,8,10,15,10,100,"junior",1132,87000,1500000,40,15,60,0,90,55,0,0,85,0,2,85,46.75,0,8,1,2,0,40.33,4,4.75,15.35,2,1.2,6.233,1.75,0.583333333333333,44,20,1,0.91,1.05333333333333,0,0,4.86666666666667,13.75,1,6,0.6,0,5.5,0.63,0.275,1.86666666666667,-3,0,0,0,0.00412500000000001,0,0,0,0,0,0,1557000,1170513,75.18,18809,14004,74.45,0,2670513,59.73,0,0.484750000000002,61
"25","周期0","小营医院","小木","口服抗生素",500000,2550000,28140,0.3,7,1,52.52264775,38,42,391875,4403,35.8271106436117,53.06385465,34.65,34.65,0,4,5,8,10,15,10,100,"junior",1132,87000,1500000,40,15,60,0,90,89,500000,5618,85,25.5,2,85,38.25,0.67,8,1,2,24.9,40.33,4,4.75,15.35,2,1.2,6.233,1.75,0.583333333333333,44,20,1,0.91,1.05333333333333,1.0835,54.348685136775,4.86666666666667,13.75,1,44,1.03588571428571,37.112792099851,5.5,0.862,52.8379151267413,1.86666666666667,11.7942857142857,42,50.319619047619,1.00319619047619,0.717568726901119,28.8225530322743,29.9880424258194,65,16.9940212129097,433348,4869,1557000,1170513,75.18,18809,14004,74.45,0,2670513,59.73,0,0.484750000000002,61
"26","周期0","小营医院","小木","一代降糖药",160000,850000,9240,0.1,7,2,52.715356875,35,40,94050,1447,30.198295180119,22.51971225,14.85,14.85,0,4,5,8,10,15,10,100,"junior",1132,87000,1500000,40,15,60,0,90,65,160000,2462,85,8.5,2,85,38.25,0.22,8,1,2,8.3,40.33,4,4.75,15.35,2,1.2,6.233,1.75,0.583333333333333,44,20,1,0.91,1.05333333333333,0.9075,48.9813524296875,4.86666666666667,13.75,1,41,0.8496,25.6564715850291,5.5,0.838,41.9113037078656,1.86666666666667,3.36,40,42.8373333333333,0.84256,0.569113037078656,10.0756035603708,11.0304828482967,26,10.8243862786373,92007,1415,1557000,1170513,75.18,18809,14004,74.45,0,2670513,59.73,0,0.484750000000002,61
"27","周期0","小营医院","小木","三代降糖药",30000,153000,4620,0.05,7,3,31,48,36,16929,178,41.265919611482,39,14.85,14.85,0,4,5,8,10,15,10,100,"junior",1132,87000,1500000,40,15,60,0,90,95,30000,316,85,4.25,2,85,38.25,0.11,8,1,2,4.15,40.33,4,4.75,15.35,2,1.2,6.233,1.75,0.583333333333333,44,20,1,0.91,1.05333333333333,0.7845,26.5163666666667,4.86666666666667,13.75,1,54,0.6648,27.4335833577132,5.5,0.946,29.491075,1.86666666666667,-1.38,36,35.7563333333333,0.715126666666667,0.44491075,8.2120071825,9.539605746,24,9.539605746,14596,154,1557000,1170513,75.18,18809,14004,74.45,0,2670513,59.73,0,0.484750000000002,61
"28","周期0","小营医院","小木","皮肤药",0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,4,5,8,10,15,10,100,"junior",1132,87000,1500000,40,15,60,0,90,55,0,0,85,0,2,85,38.25,0,8,1,2,0,40.33,4,4.75,15.35,2,1.2,6.233,1.75,0.583333333333333,44,20,1,0.91,1.05333333333333,0,0,4.86666666666667,13.75,1,6,0.6,0,5.5,0.63,0.275,1.86666666666667,-3,0,0,0,0.00412500000000001,0,0,0,0,0,0,1557000,1170513,75.18,18809,14004,74.45,0,2670513,59.73,0,0.484750000000002,61
"29","周期0","光华医院","小宋","口服抗生素",170000,918000,6720,0.1,8,1,45,66,37,141075,1585,41,47,34.65,34.65,0,4,5,6,10,15,10,100,"senior",2910,230000,8000000,70,80,50,0,90,89,170000,1910,85,8.5,2,85,15.3,0.56,6,1.1,2,8.3,97.33,3,4.75,68.3,1.5,1.2,9.8932,1.75,0.583333333333333,76,85,0.96,1.206,1.05333333333333,0.8075,41.5065,4.86666666666667,13.75,1,72,0.7488,30.7008,4,1.104,44.057475,1.86666666666667,0.719999999999998,37,38.1213333333333,0.762426666666667,0.585862125,22.74730717875,25.127845743,60,14.5639228715,133697,1502,2208000,1774827,80.38,25690,20631,80.31,0,9774827,99.7,-1,1.81175,51
"30","周期0","光华医院","小宋","一代降糖药",60000,306000,3360,0.05,8,2,58.827489046875,45,47,49658.4,764,44.6058610684987,36,23.1,23.1,0,4,5,6,10,15,10,100,"senior",2910,230000,8000000,70,80,50,0,90,65,60000,923,85,4.25,2,85,15.3,0.28,6,1.1,2,4.15,97.33,3,4.75,68.3,1.5,1.2,9.8932,1.75,0.583333333333333,76,85,0.96,1.206,1.05333333333333,0.7845,53.4486956316891,4.86666666666667,13.75,1,51,0.65376,29.1615277321417,4,0.919,48.7033217237668,1.86666666666667,-1.656,47,46.5769333333333,0.898654,0.655549825856502,17.3894835463711,18.5315868370969,42,16.8252694696775,51485,792,2208000,1774827,80.38,25690,20631,80.31,0,9774827,99.7,-1,1.81175,51
"31","周期0","光华医院","小宋","三代降糖药",8000,34000,2040,0.03,8,3,35,56,41,6186.4,65,48.6930792034598,35,26.4,26.4,0,4,5,6,10,15,10,100,"senior",2910,230000,8000000,70,80,50,0,90,95,8000,84,85,2.55,2,85,15.3,0.17,6,1.1,2,2.49,97.33,3,4.75,68.3,1.5,1.2,9.8932,1.75,0.583333333333333,76,85,0.96,1.206,1.05333333333333,0.48555,25.5218833333333,4.86666666666667,13.75,1,62,0.63264,30.8051896272768,4,1.018,28.2174125,1.86666666666667,-2.184,41,40.2337333333333,0.804674666666667,0.432174125,15.34300262,17.554402096,44,16.0435216768,5455,57,2208000,1774827,80.38,25690,20631,80.31,0,9774827,99.7,-1,1.81175,51
"32","周期0","光华医院","小宋","皮肤药",0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,4,5,6,10,15,10,100,"senior",2910,230000,8000000,70,80,50,0,90,55,0,0,85,0,2,85,15.3,0,6,1.1,2,0,97.33,3,4.75,68.3,1.5,1.2,9.8932,1.75,0.583333333333333,76,85,0.96,1.206,1.05333333333333,0,0,4.86666666666667,13.75,1,6,0.6,0,4,0.63,0.2,1.86666666666667,-3,0,0,0,0.00299999999999999,0,0,0,0,0,0,2208000,1774827,80.38,25690,20631,80.31,0,9774827,99.7,-1,1.81175,51
"33","周期0","西河医院","小兰","口服抗生素",170000,612000,6000,0.1,9,1,41.1884595,60,45,116622,1310,34.6490474040298,41.4193392,44.55,44.55,0,4,5,8,10,15,10,100,"middle",2080,160000,5600000,66,50,88,0,120,89,170000,1910,85,8.5,2,85,17,0.5,8,0.63,1,8.4,89.84,4,4.75,46.7,2,1.2,9.5936,1.75,0.583333333333333,72,55,1.124,1.182,1.05333333333333,0.81,38.8681762815,4.86666666666667,13.75,1,66,0.72,24.9473141309015,5.5,1.054,40.228295874485,1.86666666666667,0.00000000000000555111512312578,45,45.6533333333333,0.913066666666667,0.55228295874485,31.0333714872498,33.7366971897999,78,18.8683485948999,115474,1297,2690000,2043504,75.97,31167,23610,75.75,0,7643504,98.81,-0.5,0.692125,89
"34","周期0","西河医院","小兰","一代降糖药",70000,367200,4200,0.07,9,2,54.5811766875,60,46,52366.6,806,45.0261647110219,41.60148045,19.8,19.8,0,4,5,8,10,15,10,100,"middle",2080,160000,5600000,66,50,88,0,120,65,70000,1077,85,5.95,2,85,17,0.35,8,0.63,1,5.88,89.84,4,4.75,46.7,2,1.2,9.5936,1.75,0.583333333333333,72,55,1.124,1.182,1.05333333333333,0.8364,52.3710029061675,4.86666666666667,13.75,1,66,0.648,29.1769547327422,5.5,1.054,50.4029182809856,1.86666666666667,-1.8,46,45.4833333333333,0.88225,0.681043774214784,15.0782200376716,16.0225760301373,36,14.8180608241098,54412,837,2690000,2043504,75.97,31167,23610,75.75,0,7643504,98.81,-0.5,0.692125,89
